p004904-2193-06-17-03-04 "['AVL', 'MCL', 'ICP', 'AVR', 'RESP', 'AVF', 'II', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p006621-2131-05-24-07-05 "['ICP', 'AVR', 'RESP', 'II', 'I', 'ABP', 'PLETH', 'V']"
p007184-2116-12-15-06-58 "['UAP', 'ICP', 'ART', 'AVR', 'RESP', 'II', 'CVP', 'ABP', 'PLETH', 'V']"
p008170-2171-03-22-03-11 "['ICP', 'II', 'III', 'I', 'ABP', 'V']"
p008848-2148-07-30-17-12 "['ICP', 'ART', 'AVR', 'RESP', 'P1', 'II', 'PAP', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V', 'UVP']"
p011003-2119-05-17-14-20 "['ICP', 'AVR', 'RESP', 'II', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p011901-2184-05-31-09-44 "['ICP', 'II', 'ABP', 'PLETH']"
p011901-2184-05-31-19-22 "['ABP', 'II', 'ICP', 'PLETH']"
p016590-2181-05-26-20-15 "['ICP', 'II', 'III', 'I', 'ABP', 'PLETH']"
p017875-2157-11-16-15-43 "['ICP', 'AVR', 'RESP', 'P1', 'II', 'I', 'ABP', 'PLETH', 'V']"
p017902-2203-03-09-06-14 "['ICP', 'II', 'III', 'I', 'ABP']"
p018753-2191-02-16-08-28 "['ICP', 'MCL', 'II', 'III', 'ABP']"
p022933-2111-04-23-17-31 "['ICP', 'ART', 'RESP', 'II', 'P4', 'III', 'CVP', 'ABP', 'PLETH', 'V']"
p023874-2177-11-26-12-42 "['ICP', 'II', 'PAP', 'I', 'ABP']"
p025658-2179-01-15-14-01 "['ICP', 'AVR', 'RESP', 'II', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p027162-2171-08-15-21-03 "['ICP', 'II', 'I', 'ABP', 'PLETH']"
p027162-2171-08-18-17-17 "['ICP', 'AVR', 'RESP', 'II', 'I', 'ABP', 'PLETH', 'V']"
p027162-2171-08-20-17-31 "['ICP', 'AVR', 'RESP', 'II', 'I', 'ABP', 'PLETH', 'V']"
p027338-2125-01-05-23-04 "['UAP', 'ICP', 'ART', 'AVR', 'RESP', 'II', 'PAP', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p027833-2150-02-27-17-29 "['MCL', 'ICP', 'ART', 'AVR', 'RESP', 'P1', 'UAP', 'II', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p027845-2181-12-19-22-12 "['ICP', 'AVR', 'RESP', 'II', 'ABP', 'PLETH', 'V']"
p028075-2196-03-14-16-21 "['MCL', 'ICP', 'AVR', 'RESP', 'II', 'PAP', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'AOBP', 'V']"
p028075-2196-03-15-11-41 "['MCL', 'ICP', 'AVR', 'RESP', 'II', 'PAP', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p028644-2121-07-26-17-13 "['ICP', 'AVR', 'RESP', 'II', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p029035-2155-03-11-20-29 "['ICP', 'UAP', 'AVR', 'RESP', 'II', 'III', 'CVP', 'ABP', 'PLETH', 'V']"
p029527-2168-03-11-17-54 "['ICP', 'ART', 'AVR', 'RESP', 'LAP', 'II', 'PAP', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p029569-2134-02-22-17-47 "['ICP', 'AVR', 'RESP', 'II', 'PAP', 'CVP', 'ABP', 'RAP', 'PLETH', 'V']"
p031574-2114-12-28-09-31 "['MCL', 'ICP', 'AVR', 'RESP', 'II', 'ABP', 'PLETH']"
p032377-2139-03-12-00-03 "['ICP', 'UAP', 'AVR', 'RESP', 'II', 'III', 'ABP', 'PLETH', 'V']"
p040084-2173-02-01-00-51 "['ICP', 'II', 'III', 'ABP', 'PLETH']"
p040673-2125-05-30-21-37 "['ICP', 'AVR', 'RESP', 'LAP', 'II', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p040867-2108-05-18-11-14 "['ICP', 'II', 'ABP', 'PLETH']"
p040867-2108-05-18-21-41 "['ICP', 'II', 'I', 'ABP', 'PLETH']"
p040882-2164-03-04-17-00 "['ICP', 'RESP', 'II', 'PAP', 'III', 'I', 'ABP', 'PLETH', 'V']"
p040934-2114-10-03-18-24 "['ABP', 'II', 'ICP', 'PLETH']"
p040967-2163-05-20-14-40 "['ICP', 'II', 'I', 'ABP', 'PLETH']"
p041107-2108-04-24-00-31 "['ICP', 'AVR', 'RESP', 'II', 'ABP', 'PLETH', 'V']"
p041405-2119-05-02-00-54 "['ICP', 'AVR', 'RESP', 'II', 'CVP', 'ABP', 'PLETH', 'V']"
p041405-2119-05-02-15-33 "['ICP', 'AVR', 'II', 'ABP', 'PLETH', 'V']"
p042210-2193-02-11-23-06 "['ICP', 'AVR', 'RESP', 'II', 'ABP', 'PLETH', 'V']"
p042210-2193-02-12-12-50 "['ICP', 'ART', 'AVR', 'RESP', 'II', 'III', 'CVP', 'ABP', 'PLETH', 'V']"
p042311-2180-01-12-18-29 "['MCL', 'ICP', 'AVR', 'RESP', 'II', 'CVP', 'ABP', 'PLETH', 'V']"
p043116-2107-04-01-09-22 "['ICP', 'AVR', 'RESP', 'II', 'III', 'I', 'ABP', 'PLETH', 'V']"
p043150-2103-07-19-15-26 "['ICP', 'RESP', 'II', 'III', 'I', 'ABP', 'PLETH', 'V']"
p043450-2156-09-14-05-10 "['UAP', 'ICP', 'ART', 'AVR', 'RESP', 'II', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V', 'UVP']"
p043559-2143-01-03-10-14 "['ICP', 'AVR', 'RESP', 'II', 'ABP', 'PLETH', 'V']"
p043571-2141-04-19-20-14 "['ICP', 'RESP', 'II', 'III', 'CVP', 'ABP', 'PLETH', 'V']"
p043571-2141-04-20-14-39 "['ICP', 'RESP', 'II', 'III', 'CVP', 'ABP', 'PLETH', 'V']"
p043571-2141-04-20-20-17 "['ICP', 'RESP', 'II', 'III', 'CVP', 'ABP', 'PLETH', 'V']"
p043571-2141-04-21-17-12 "['ICP', 'RESP', 'II', 'III', 'ABP', 'PLETH', 'V']"
p043571-2141-04-21-22-02 "['ICP', 'RESP', 'II', 'III', 'I', 'ABP', 'PLETH', 'V']"
p043601-2152-05-04-19-35 "['ICP', 'AVR', 'RESP', 'II', 'I', 'ABP', 'PLETH', 'V']"
p043601-2152-05-05-11-32 "['ICP', 'AVR', 'RESP', 'II', 'ABP', 'PLETH', 'V']"
p043601-2152-05-07-23-05 "['ICP', 'AVR', 'RESP', 'II', 'ABP', 'PLETH', 'V']"
p044061-2136-08-15-20-37 "['ICP', 'AVR', 'RESP', 'II', 'PAP', 'III', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p044514-2159-04-23-08-58 "['ICP', 'II', 'III', 'I', 'ABP']"
p044514-2159-04-26-18-08 "['ABP', 'II', 'ICP']"
p044781-2146-11-24-18-17 "['ICP', 'AVR', 'RESP', 'II', 'I', 'ABP', 'PLETH', 'V']"
p044781-2146-11-25-03-19 "['ICP', 'AVR', 'RESP', 'II', 'ABP', 'PLETH', 'V']"
p044781-2146-11-27-10-54 "['ICP', 'AVR', 'RESP', 'II', 'I', 'ABP', 'PLETH', 'V']"
p044789-2128-06-23-02-45 "['ICP', 'ART', 'AVR', 'RESP', 'II', 'PAP', 'I', 'CVP', 'ABP', 'PLETH', 'V']"
p044789-2128-07-02-19-34 "['ICP', 'AVR', 'RESP', 'II', 'III', 'ABP', 'PLETH', 'V']"
p044789-2128-07-03-17-39 "['ICP', 'AVR', 'RESP', 'II', 'III', 'ABP', 'PLETH', 'V']"
p044789-2128-07-05-16-22 "['ICP', 'RESP', 'II', 'III', 'ABP', 'PLETH', 'V']"
p044789-2128-07-07-13-32 "['ICP', 'RESP', 'II', 'III', 'ABP', 'PLETH', 'V']"
p044856-2154-03-10-20-11 "['ICP', 'I', 'II', 'ABP']"
p044856-2154-03-11-20-00 "['ICP', 'I', 'II', 'ABP']"
p044856-2154-03-13-18-01 "['ICP', 'II', 'III', 'I', 'ABP']"
p045032-2190-06-13-14-33 "['ICP', 'II', 'ABP', 'PLETH']"
